Source,Target,Line_Name
NEW DELHI (Yellow & Airport Line),SHIVAJI STADIUM,Airport Express - Orange Line
SHIVAJI STADIUM,DHAULA KUAN,Airport Express - Orange Line
DHAULA KUAN,DELHI AEROCITY,Airport Express - Orange Line
DELHI AEROCITY,AIRPORT (T-3),Airport Express - Orange Line
AIRPORT (T-3),DWARKA SECTOR - 21,Airport Express - Orange Line
DWARKA SECTOR - 21,YASHOBHOOMI DWARKA SECTOR - 25,Airport Express - Orange Line
SHAHEED STHAL,HINDON RIVER,Line 1 - Red Line
HINDON RIVER,ARTHALA,Line 1 - Red Line
ARTHALA,MOHAN NAGAR,Line 1 - Red Line
MOHAN NAGAR,SHYAM PARK,Line 1 - Red Line
SHYAM PARK,MAJOR MOHIT SHARMA RAJENDRA NAGAR,Line 1 - Red Line
MAJOR MOHIT SHARMA RAJENDRA NAGAR,RAJ BAGH,Line 1 - Red Line
RAJ BAGH,SHAHEED NAGAR,Line 1 - Red Line
SHAHEED NAGAR,DILSHAD GARDEN,Line 1 - Red Line
DILSHAD GARDEN,JHILMIL,Line 1 - Red Line
JHILMIL,MANSAROVAR PARK,Line 1 - Red Line
MANSAROVAR PARK,SHAHDARA,Line 1 - Red Line
SHAHDARA,WELCOME,Line 1 - Red Line
WELCOME,SEELAMPUR,Line 1 - Red Line
SEELAMPUR,SHASTRI PARK,Line 1 - Red Line
SHASTRI PARK,KASHMERE GATE,Line 1 - Red Line
KASHMERE GATE,TIS HAZARI,Line 1 - Red Line
TIS HAZARI,PULBANGASH,Line 1 - Red Line
PULBANGASH,PRATAP NAGAR,Line 1 - Red Line
PRATAP NAGAR,SHASTRI NAGAR,Line 1 - Red Line
SHASTRI NAGAR,INDERLOK,Line 1 - Red Line
INDERLOK,KANHAIYA NAGAR,Line 1 - Red Line
KANHAIYA NAGAR,KESHAV PURAM,Line 1 - Red Line
KESHAV PURAM,NETAJI SUBHASH PLACE,Line 1 - Red Line
NETAJI SUBHASH PLACE,KOHAT ENCLAVE,Line 1 - Red Line
KOHAT ENCLAVE,PITAMPURA,Line 1 - Red Line
PITAMPURA,ROHINI EAST,Line 1 - Red Line
ROHINI EAST,ROHINI WEST,Line 1 - Red Line
ROHINI WEST,RITHALA,Line 1 - Red Line
SAMAYPUR BADLI,"ROHINI SECTOR - 18, 19",Line 2 - Yellow Line
"ROHINI SECTOR - 18, 19",HAIDERPUR BADLI MOR,Line 2 - Yellow Line
HAIDERPUR BADLI MOR,JAHANGIRPURI,Line 2 - Yellow Line
JAHANGIRPURI,ADARSH NAGAR,Line 2 - Yellow Line
ADARSH NAGAR,AZADPUR,Line 2 - Yellow Line
AZADPUR,MODEL TOWN,Line 2 - Yellow Line
MODEL TOWN,GURU TEG BAHADUR NAGAR,Line 2 - Yellow Line
GURU TEG BAHADUR NAGAR,VISHWAVIDYALAYA,Line 2 - Yellow Line
VISHWAVIDYALAYA,VIDHAN SABHA,Line 2 - Yellow Line
VIDHAN SABHA,CIVIL LINES,Line 2 - Yellow Line
CIVIL LINES,KASHMERE GATE,Line 2 - Yellow Line
KASHMERE GATE,CHANDNI CHOWK,Line 2 - Yellow Line
CHANDNI CHOWK,CHAWRI BAZAR,Line 2 - Yellow Line
CHAWRI BAZAR,NEW DELHI (Yellow & Airport Line),Line 2 - Yellow Line
NEW DELHI (Yellow & Airport Line),RAJIV CHOWK,Line 2 - Yellow Line
RAJIV CHOWK,PATEL CHOWK,Line 2 - Yellow Line
PATEL CHOWK,CENTRAL SECRETARIAT,Line 2 - Yellow Line
CENTRAL SECRETARIAT,UDYOG BHAWAN,Line 2 - Yellow Line
UDYOG BHAWAN,LOK KALYAN MARG,Line 2 - Yellow Line
LOK KALYAN MARG,JOR BAGH,Line 2 - Yellow Line
JOR BAGH,DILLI HAAT - INA,Line 2 - Yellow Line
DILLI HAAT - INA,AIIMS,Line 2 - Yellow Line
AIIMS,GREEN PARK,Line 2 - Yellow Line
GREEN PARK,HAUZ KHAS,Line 2 - Yellow Line
HAUZ KHAS,MALVIYA NAGAR,Line 2 - Yellow Line
MALVIYA NAGAR,SAKET,Line 2 - Yellow Line
SAKET,QUTAB MINAR,Line 2 - Yellow Line
QUTAB MINAR,CHHATARPUR,Line 2 - Yellow Line
CHHATARPUR,SULTANPUR,Line 2 - Yellow Line
SULTANPUR,GHITORNI,Line 2 - Yellow Line
GHITORNI,ARJAN GARH,Line 2 - Yellow Line
ARJAN GARH,GURU DRONACHARYA,Line 2 - Yellow Line
GURU DRONACHARYA,SIKANDERPUR,Line 2 - Yellow Line
SIKANDERPUR,M.G. ROAD,Line 2 - Yellow Line
M.G. ROAD,IFFCO CHOWK,Line 2 - Yellow Line
IFFCO CHOWK,MILLENNIUM CITY CENTRE GURUGRAM,Line 2 - Yellow Line
DWARKA SECTOR - 21,DWARKA SECTOR - 8,Line 3 - Blue Line
DWARKA SECTOR - 8,DWARKA SECTOR - 9,Line 3 - Blue Line
DWARKA SECTOR - 9,DWARKA SECTOR - 10,Line 3 - Blue Line
DWARKA SECTOR - 10,DWARKA SECTOR - 11,Line 3 - Blue Line
DWARKA SECTOR - 11,DWARKA SECTOR - 12,Line 3 - Blue Line
DWARKA SECTOR - 12,DWARKA SECTOR - 13,Line 3 - Blue Line
DWARKA SECTOR - 13,DWARKA SECTOR - 14,Line 3 - Blue Line
DWARKA SECTOR - 14,DWARKA,Line 3 - Blue Line
DWARKA,DWARKA MOR,Line 3 - Blue Line
DWARKA MOR,NAWADA,Line 3 - Blue Line
NAWADA,UTTAM NAGAR WEST,Line 3 - Blue Line
UTTAM NAGAR WEST,UTTAM NAGAR EAST,Line 3 - Blue Line
UTTAM NAGAR EAST,JANAKPURI WEST,Line 3 - Blue Line
JANAKPURI WEST,JANAKPURI EAST,Line 3 - Blue Line
JANAKPURI EAST,TILAK NAGAR,Line 3 - Blue Line
TILAK NAGAR,SUBHASH NAGAR,Line 3 - Blue Line
SUBHASH NAGAR,TAGORE GARDEN,Line 3 - Blue Line
TAGORE GARDEN,RAJOURI GARDEN,Line 3 - Blue Line
RAJOURI GARDEN,RAMESH NAGAR,Line 3 - Blue Line
RAMESH NAGAR,MOTI NAGAR,Line 3 - Blue Line
MOTI NAGAR,KIRTI NAGAR,Line 3 - Blue Line
KIRTI NAGAR,SHADIPUR,Line 3 - Blue Line
SHADIPUR,PATEL NAGAR,Line 3 - Blue Line
PATEL NAGAR,RAJENDRA PLACE,Line 3 - Blue Line
RAJENDRA PLACE,KAROL BAGH,Line 3 - Blue Line
KAROL BAGH,JHANDEWALAN,Line 3 - Blue Line
JHANDEWALAN,RAMAKRISHNA ASHRAM MARG,Line 3 - Blue Line
RAMAKRISHNA ASHRAM MARG,RAJIV CHOWK,Line 3 - Blue Line
RAJIV CHOWK,BARAKHAMBA ROAD,Line 3 - Blue Line
BARAKHAMBA ROAD,MANDI HOUSE,Line 3 - Blue Line
MANDI HOUSE,SUPREME COURT,Line 3 - Blue Line
SUPREME COURT,INDRAPRASTHA,Line 3 - Blue Line
INDRAPRASTHA,YAMUNA BANK,Line 3 - Blue Line
YAMUNA BANK,AKSHARDHAM,Line 3 - Blue Line
AKSHARDHAM,MAYUR VIHAR -I,Line 3 - Blue Line
MAYUR VIHAR -I,MAYUR VIHAR EXTENSION,Line 3 - Blue Line
MAYUR VIHAR EXTENSION,NEW ASHOK NAGAR,Line 3 - Blue Line
NEW ASHOK NAGAR,NOIDA SECTOR-15,Line 3 - Blue Line
NOIDA SECTOR-15,NOIDA SECTOR-16,Line 3 - Blue Line
NOIDA SECTOR-16,NOIDA SECTOR-18,Line 3 - Blue Line
NOIDA SECTOR-18,BOTANICAL GARDEN,Line 3 - Blue Line
BOTANICAL GARDEN,GOLF COURSE,Line 3 - Blue Line
GOLF COURSE,NOIDA CITY CENTRE,Line 3 - Blue Line
NOIDA CITY CENTRE,SECTOR - 34 NOIDA,Line 3 - Blue Line
SECTOR - 34 NOIDA,SECTOR - 52 NOIDA,Line 3 - Blue Line
SECTOR - 52 NOIDA,SECTOR - 61 NOIDA,Line 3 - Blue Line
SECTOR - 61 NOIDA,SECTOR - 59 NOIDA,Line 3 - Blue Line
SECTOR - 59 NOIDA,SECTOR - 62 NOIDA,Line 3 - Blue Line
SECTOR - 62 NOIDA,NOIDA ELECTRONIC CITY,Line 3 - Blue Line
YAMUNA BANK,LAXMI NAGAR,Line 4 - Blue Line
LAXMI NAGAR,NIRMAN VIHAR,Line 4 - Blue Line
NIRMAN VIHAR,PREET VIHAR,Line 4 - Blue Line
PREET VIHAR,KARKARDUMA,Line 4 - Blue Line
KARKARDUMA,ANAND VIHAR ISBT,Line 4 - Blue Line
ANAND VIHAR ISBT,KAUSHAMBI,Line 4 - Blue Line
KAUSHAMBI,VAISHALI,Line 4 - Blue Line
KIRTI NAGAR,SATGURU RAM SINGH MARG,Line 5 - Green Line
SATGURU RAM SINGH MARG,INDERLOK,Line 5 - Green Line
INDERLOK,ASHOK PARK MAIN,Line 5 - Green Line
ASHOK PARK MAIN,PUNJABI BAGH,Line 5 - Green Line
PUNJABI BAGH,PUNJABI BAGH WEST,Line 5 - Green Line
PUNJABI BAGH WEST,SHIVAJI PARK,Line 5 - Green Line
SHIVAJI PARK,MADIPUR,Line 5 - Green Line
MADIPUR,PASCHIM VIHAR EAST,Line 5 - Green Line
PASCHIM VIHAR EAST,PASCHIM VIHAR WEST,Line 5 - Green Line
PASCHIM VIHAR WEST,PEERAGARHI,Line 5 - Green Line
PEERAGARHI,UDYOG NAGAR,Line 5 - Green Line
UDYOG NAGAR,MAHARAJA SURAJMAL STADIUM,Line 5 - Green Line
MAHARAJA SURAJMAL STADIUM,NANGLOI,Line 5 - Green Line
NANGLOI,NANGLOI RAILWAY STATION,Line 5 - Green Line
NANGLOI RAILWAY STATION,RAJDHANI PARK,Line 5 - Green Line
RAJDHANI PARK,MUNDKA,Line 5 - Green Line
MUNDKA,MUNDKA INDUSTRIAL AREA (MIA),Line 5 - Green Line
MUNDKA INDUSTRIAL AREA (MIA),GHEVRA METRO STATION,Line 5 - Green Line
GHEVRA METRO STATION,TIKRI KALAN,Line 5 - Green Line
TIKRI KALAN,TIKRI BORDER,Line 5 - Green Line
TIKRI BORDER,PANDIT SHREE RAM SHARMA,Line 5 - Green Line
PANDIT SHREE RAM SHARMA,BAHADURGARH CITY,Line 5 - Green Line
BAHADURGARH CITY,BRIG. HOSHIAR SINGH,Line 5 - Green Line
KASHMERE GATE,LAL QUILA,Line 6 - Violet Line
LAL QUILA,JAMA MASJID,Line 6 - Violet Line
JAMA MASJID,DELHI GATE,Line 6 - Violet Line
DELHI GATE,ITO,Line 6 - Violet Line
ITO,MANDI HOUSE,Line 6 - Violet Line
MANDI HOUSE,JANPATH,Line 6 - Violet Line
JANPATH,CENTRAL SECRETARIAT,Line 6 - Violet Line
CENTRAL SECRETARIAT,KHAN MARKET,Line 6 - Violet Line
KHAN MARKET,JLN STADIUM,Line 6 - Violet Line
JLN STADIUM,JANGPURA,Line 6 - Violet Line
JANGPURA,LAJPAT NAGAR,Line 6 - Violet Line
LAJPAT NAGAR,MOOLCHAND,Line 6 - Violet Line
MOOLCHAND,KAILASH COLONY,Line 6 - Violet Line
KAILASH COLONY,NEHRU PLACE,Line 6 - Violet Line
NEHRU PLACE,KALKAJI MANDIR,Line 6 - Violet Line
KALKAJI MANDIR,GOVIND PURI,Line 6 - Violet Line
GOVIND PURI,HARKESH NAGAR OKHLA,Line 6 - Violet Line
HARKESH NAGAR OKHLA,JASOLA-APOLLO,Line 6 - Violet Line
JASOLA-APOLLO,SARITA VIHAR,Line 6 - Violet Line
SARITA VIHAR,MOHAN ESTATE,Line 6 - Violet Line
MOHAN ESTATE,TUGHLAKABAD STATION,Line 6 - Violet Line
TUGHLAKABAD STATION,BADARPUR BORDER,Line 6 - Violet Line
BADARPUR BORDER,SARAI,Line 6 - Violet Line
SARAI,NHPC CHOWK,Line 6 - Violet Line
NHPC CHOWK,MEWALA MAHARAJPUR,Line 6 - Violet Line
MEWALA MAHARAJPUR,SECTOR-28,Line 6 - Violet Line
SECTOR-28,BADKAL MOR,Line 6 - Violet Line
BADKAL MOR,OLD FARIDABAD,Line 6 - Violet Line
OLD FARIDABAD,NEELAM CHOWK AJRONDA,Line 6 - Violet Line
NEELAM CHOWK AJRONDA,BATA CHOWK,Line 6 - Violet Line
BATA CHOWK,ESCORTS MUJESAR,Line 6 - Violet Line
ESCORTS MUJESAR,SANT SURDAS (SIHI),Line 6 - Violet Line
SANT SURDAS (SIHI),RAJA NAHAR SINGH (BALLABHGARH),Line 6 - Violet Line
MAJLIS PARK,AZADPUR,Line 7 - Pink Line
AZADPUR,SHALIMAR BAGH,Line 7 - Pink Line
SHALIMAR BAGH,NETAJI SUBHASH PLACE,Line 7 - Pink Line
NETAJI SUBHASH PLACE,SHAKURPUR,Line 7 - Pink Line
SHAKURPUR,PUNJABI BAGH WEST,Line 7 - Pink Line
PUNJABI BAGH WEST,ESI-BASAIDARAPUR,Line 7 - Pink Line
ESI-BASAIDARAPUR,RAJOURI GARDEN,Line 7 - Pink Line
RAJOURI GARDEN,MAYAPURI,Line 7 - Pink Line
MAYAPURI,NARAINA VIHAR,Line 7 - Pink Line
NARAINA VIHAR,DELHI CANTT.,Line 7 - Pink Line
DELHI CANTT.,DURGABAI DESHMUKH SOUTH CAMPUS,Line 7 - Pink Line
DURGABAI DESHMUKH SOUTH CAMPUS,SIR M. VISHWESHWARAIAH MOTI BAGH,Line 7 - Pink Line
SIR M. VISHWESHWARAIAH MOTI BAGH,BHIKAJI CAMA PLACE,Line 7 - Pink Line
BHIKAJI CAMA PLACE,SAROJINI NAGAR,Line 7 - Pink Line
SAROJINI NAGAR,DILLI HAAT - INA,Line 7 - Pink Line
DILLI HAAT - INA,SOUTH EXTENSION,Line 7 - Pink Line
SOUTH EXTENSION,LAJPAT NAGAR,Line 7 - Pink Line
LAJPAT NAGAR,VINOBAPURI,Line 7 - Pink Line
VINOBAPURI,ASHRAM,Line 7 - Pink Line
ASHRAM,SARAI KALE KHAN - NIZAMUDDIN,Line 7 - Pink Line
SARAI KALE KHAN - NIZAMUDDIN,MAYUR VIHAR -I,Line 7 - Pink Line
MAYUR VIHAR -I,MAYUR VIHAR POCKET-1,Line 7 - Pink Line
MAYUR VIHAR POCKET-1,TRILOKPURI-SANJAY LAKE,Line 7 - Pink Line
TRILOKPURI-SANJAY LAKE,EAST VINOD NAGAR-MAYUR VIHAR -II,Line 7 - Pink Line
EAST VINOD NAGAR-MAYUR VIHAR -II,MANDAWALI - WEST VINOD NAGAR,Line 7 - Pink Line
MANDAWALI - WEST VINOD NAGAR,I.P. EXTENSION,Line 7 - Pink Line
I.P. EXTENSION,ANAND VIHAR ISBT,Line 7 - Pink Line
ANAND VIHAR ISBT,KARKARDUMA,Line 7 - Pink Line
KARKARDUMA,KARKARDUMA COURT,Line 7 - Pink Line
KARKARDUMA COURT,KRISHNA NAGAR,Line 7 - Pink Line
KRISHNA NAGAR,EAST AZAD NAGAR,Line 7 - Pink Line
EAST AZAD NAGAR,WELCOME,Line 7 - Pink Line
WELCOME,JAFRABAD,Line 7 - Pink Line
JAFRABAD,MAUJPUR-BABARPUR,Line 7 - Pink Line
MAUJPUR-BABARPUR,GOKULPURI,Line 7 - Pink Line
GOKULPURI,JOHRI ENCLAVE,Line 7 - Pink Line
JOHRI ENCLAVE,SHIV VIHAR,Line 7 - Pink Line
KRISHNA PARK EXTENSION,JANAKPURI WEST,Line 8 - Magenta Line
JANAKPURI WEST,DABRI MOR - JANAKPURI SOUTH,Line 8 - Magenta Line
DABRI MOR - JANAKPURI SOUTH,DASHRATHPURI,Line 8 - Magenta Line
DASHRATHPURI,PALAM,Line 8 - Magenta Line
PALAM,SADAR BAZAR CANTONMENT,Line 8 - Magenta Line
SADAR BAZAR CANTONMENT,TERMINAL 1-IGI AIRPORT,Line 8 - Magenta Line
TERMINAL 1-IGI AIRPORT,SHANKAR VIHAR,Line 8 - Magenta Line
SHANKAR VIHAR,VASANT VIHAR,Line 8 - Magenta Line
VASANT VIHAR,MUNIRKA,Line 8 - Magenta Line
MUNIRKA,R.K.PURAM,Line 8 - Magenta Line
R.K.PURAM,IIT,Line 8 - Magenta Line
IIT,HAUZ KHAS,Line 8 - Magenta Line
HAUZ KHAS,PANCHSHEEL PARK,Line 8 - Magenta Line
PANCHSHEEL PARK,CHIRAG DELHI,Line 8 - Magenta Line
CHIRAG DELHI,GREATER KAILASH,Line 8 - Magenta Line
GREATER KAILASH,NEHRU ENCLAVE,Line 8 - Magenta Line
NEHRU ENCLAVE,KALKAJI MANDIR,Line 8 - Magenta Line
KALKAJI MANDIR,OKHLA NSIC,Line 8 - Magenta Line
OKHLA NSIC,SUKHDEV VIHAR,Line 8 - Magenta Line
SUKHDEV VIHAR,JAMIA MILLIA ISLAMIA,Line 8 - Magenta Line
JAMIA MILLIA ISLAMIA,OKHLA VIHAR,Line 8 - Magenta Line
OKHLA VIHAR,JASOLA VIHAR SHAHEEN BAGH,Line 8 - Magenta Line
JASOLA VIHAR SHAHEEN BAGH,KALINDI KUNJ,Line 8 - Magenta Line
KALINDI KUNJ,OKHLA BIRD SANCTUARY,Line 8 - Magenta Line
OKHLA BIRD SANCTUARY,BOTANICAL GARDEN,Line 8 - Magenta Line
DWARKA,NANGLI,Line 9 - Grey Line
NANGLI,NAJAFGARH,Line 9 - Grey Line
NAJAFGARH,DHANSA BUS STAND,Line 9 - Grey Line
SECTOR 55-56,SECTOR-54 CHOWK,Rapid Metro - RMGL
SECTOR-54 CHOWK,SECTOR-53-54,Rapid Metro - RMGL
SECTOR-53-54,SECTOR-42-43,Rapid Metro - RMGL
SECTOR-42-43,PHASE-1,Rapid Metro - RMGL
PHASE-1,SIKANDERPUR,Rapid Metro - RMGL
SIKANDERPUR,PHASE-2,Rapid Metro - RMGL
PHASE-2,BELVEDERE TOWERS,Rapid Metro - RMGL
BELVEDERE TOWERS,CYBER CITY,Rapid Metro - RMGL
CYBER CITY,MOULSARI AVENUE,Rapid Metro - RMGL
MOULSARI AVENUE,PHASE-3,Rapid Metro - RMGL
